ID,Nome,Endereço,Atendimento,Telefone,Local no Google Maps,Reviews,Pontuação,Site,Categoria,,Latitude,Longitude,ID do local,,Imagem do local,Link dos Reviews
1,Chácara Montreal Festas Piracicaba,"Av. João Flávio Ferro, 473 - Santa Rita, Piracicaba - SP, 13423-224","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",19997771370,link,267,4.7,,"Casa de campo,Salão de festas,Local para eventos",,-227.538.795,-47.594.640.399.999.900,ChIJq5g_xfAvxpQR4AsaQed_QUU,,link,link
2,Chácara Pitangueiras,"km 18,5, SP-135 - Dois Córregos, Piracicaba - SP, 13420-280","quarta-feira:[09:00–19:00],quinta-feira:[09:00–19:00],sexta-feira:[09:00–19:00],sábado:[09:00–13:00],domingo:[Fechado],segunda-feira:[09:00–19:00],terça-feira:[09:00–19:00]",19981408869,link,174,4.8,link,Local para casamentos,,-227.401.466,-47.586.337.099.999.900,ChIJexvsLusvxpQRbpV0pxD2Y2w,,link,link
3,Chácara do Chitão,"Estrada Municipal Santa Isabel Km 3,5 - Tupi, Piracicaba - SP, 13428-460","quarta-feira:[07:00–21:00],quinta-feira:[07:00–21:00],sexta-feira:[07:00–21:00],sábado:[07:00–21:00],domingo:[07:00–21:00],segunda-feira:[07:00–21:00],terça-feira:[07:00–21:00]",19999169673,link,44,4.7,,Local para eventos,,-227.672.729,-47.518.150.299.999.900,ChIJV7L2tGQmxpQRXSWx4o62120,,link,link
4,Chácara Terra Viva - Piracicaba - Eventos e Lazer,"R. Evaristo Carlos Mazzero, 619 - Conceição, Piracicaba - SP, 13423-180","quarta-feira:[08:00–18:00],quinta-feira:[08:00–18:00],sexta-feira:[08:00–18:00],sábado:[08:00–18:00],domingo:[08:00–18:00],segunda-feira:[08:00–18:00],terça-feira:[08:00–18:00]",19997813891,link,64,4.6,link,Local para eventos,,-227.331.035,-47.575.424.399.999.900,ChIJ09ThwZcvxpQRtsJ6x5a2Q20,,link,link
5,CHÁCARA KIREI,"R. Profa. Maria Madalena Moreira Granja, 268 - Chácara Recreio Cruzeiro do Sul, Santa Bárbara d'Oeste - SP, 13459-455","quarta-feira:[Atendimento 24 horas],quinta-feira:[Atendimento 24 horas],sexta-feira:[Atendimento 24 horas],sábado:[Atendimento 24 horas],domingo:[Atendimento 24 horas],segunda-feira:[Atendimento 24 horas],terça-feira:[Atendimento 24 horas]",11945282944,link,28,4.8,link,Local para eventos,,-227.385.894,-47.490.651.299.999.900,ChIJ_5DxgHQnxpQRFGibt7DYhgg,,link,link
6,Chácara Pôr do Sol,"Estr. 15 - Tupi, Piracicaba - SP, 13428-000",,19993451749,link,39,4.8,,"Casa de campo,Estacionamento gratuito,Casa de férias,Pousada",,-227.672.961,-47.529.716.699.999.900,ChIJs3vWxdklxpQROvz3btHhoOY,,link,link
7,Chácara Netaiada N,"13390-000, Rio das Pedras - SP",,19997980332,link,39,4.8,,Local para eventos,,-22.768.689,-4.754.298,ChIJ5XTBiMYlxpQRKNUmsyAkRhY,,link,link
8,Chácara Raio De Sol,"Estr. 14 - Tupi, Piracicaba - SP","quarta-feira:[08:00–18:00],quinta-feira:[08:00–18:00],sexta-feira:[08:00–18:00],sábado:[08:00–18:00],domingo:[08:00–18:00],segunda-feira:[08:00–18:00],terça-feira:[08:00–18:00]",19998686032,link,26,4.1,,Local para eventos,,-227.739.823,-475.315.969,ChIJT99ZT4MlxpQRdX6naB9HaPg,,link,link
9,Chácara Bella Dias,"km 8, Rod. Luiz de Queiroz, 152, Piracicaba - SP",,,link,76,4.5,link,Casa de campo,,-227.269.611,-475.621.833,ChIJtx84egwvxpQRrW-9bniZQG0,,link,link
10,Chácaras Pinheiros Piracicaba,"SP-308, Km 154 - Batistada, Piracicaba - SP, 13400-911",,1934243874,link,251,4.5,link,Local para eventos,,-22.788.700.499.999.900,-475.803.721,ChIJe2GxDBwlxpQRmCkn4f_Xv2s,,link,link
